2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
3,3,6,-3,-1,6,8,6,14,3,13,5,0,-1,4,5,2
1,6,2,0,-1,7,0,9,13,5,12,6,5,2,2,3,2
1,4,2,0,3,7,3,3,13,3,14,7,3,4,4,5,6
7,6,0,0,5,11,2,2,9,3,10,12,3,5,4,3,6
5,14,1,1,8,14,3,7,13,4,12,8,6,3,6,8,9
2,8,3,0,9,5,2,4,12,2,12,6,3,6,2,6,15
3,8,8,-1,11,10,4,2,13,2,2,5,1,5,6,4,12
2,12,8,0,11,13,6,2,11,5,6,6,0,0,5,6,8
5,17,11,4,11,13,11,4,6,5,11,6,3,3,3,6,11
7,6,14,3,12,3,5,8,6,6,13,5,7,7,6,6,3
7,7,12,10,9,8,3,4,5,6,12,6,9,7,10,9,9
9,5,18,0,2,7,3,7,9,4,11,7,12,8,7,20,11
12,0,18,4,4,11,8,8,9,12,13,6,15,12,12,8,15
12,0,14,4,7,10,4,14,3,12,10,6,7,7,8,3,1
6,2,4,5,6,17,4,14,8,6,10,7,5,7,8,3,6
12,5,2,9,11,7,7,15,4,5,13,9,3,13,7,5,11
14,8,0,4,14,11,11,14,8,6,7,10,3,18,12,4,16
14,9,2,7,16,7,8,8,4,1,4,9,5,12,15,7,7
20,8,11,6,17,1,7,5,5,2,6,8,7,9,15,2,7
22,9,10,10,18,1,11,7,9,4,8,10,14,7,14,5,7
23,10,11,13,8,-1,3,9,10,3,11,9,13,7,21,8,6
16,18,15,16,6,0,6,7,9,7,5,11,14,12,18,9,3
15,19,15,6,6,1,7,12,10,8,4,12,11,15,10,7,8
25,22,9,2,8,5,12,6,9,12,6,14,11,7,8,8,8
24,24,13,2,9,9,15,7,13,13,6,14,10,8,9,8,9
14,23,18,2,8,11,16,11,14,16,10,17,11,9,16,7,17
13,23,20,6,7,11,16,12,15,21,16,16,13,4,14,13,7
9,17,9,4,5,5,15,6,16,19,8,14,16,7,17,11,18
9,11,5,4,6,6,13,6,20,13,8,12,10,13,15,10,6
6,13,18,8,12,3,13,0,22,10,13,11,12,8,10,8,11
