2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
19,17,28,28,24,21,21,19,23,21,25,17,18,18,26,19,21
19,17,18,26,26,20,23,22,16,19,26,16,21,22,25,20,22
20,17,20,26,27,17,17,25,11,19,28,22,25,25,29,19,21
19,20,20,26,26,22,18,22,14,17,33,23,22,26,29,20,23
19,19,17,23,27,17,22,25,17,19,25,22,22,26,30,23,22
19,18,17,20,27,22,25,25,15,22,29,23,23,26,29,26,21
17,19,21,16,26,22,25,27,16,21,37,23,22,27,30,22,19
18,21,17,17,25,26,25,28,14,23,33,15,18,28,23,26,21
15,20,18,16,16,27,23,27,18,24,30,19,14,25,26,22,23
16,22,23,15,17,17,20,27,19,23,26,21,13,22,26,25,21
18,19,25,17,21,21,24,28,22,25,22,18,14,16,28,26,13
23,19,27,19,17,19,24,29,23,20,27,16,16,19,19,29,15
19,16,27,20,15,18,23,30,20,16,29,16,19,22,20,19,19
20,19,25,19,13,18,22,32,23,17,31,19,23,17,21,19,18
18,21,26,17,16,18,25,27,21,19,21,21,24,15,18,21,19
18,20,23,17,17,19,23,30,18,15,23,23,20,20,19,14,14
18,28,18,19,17,16,22,21,29,19,23,18,23,22,20,20,20
19,21,21,20,18,17,20,22,24,19,19,16,22,25,21,17,19
19,20,22,22,19,21,24,21,19,15,18,18,19,25,19,19,24
19,21,22,17,25,21,26,26,24,16,17,20,15,23,21,23,18
