2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,-10,-13,2,2,0,5,-3,5,5,-15,5,-9,-1,0,2,0
1,-5,-7,1,1,2,6,-6,5,4,-8,3,-2,-5,-3,2,-2
5,-2,-7,2,-2,0,6,-3,5,3,-10,2,-1,3,3,3,-4
5,-6,-5,3,-5,-3,5,4,6,1,-9,3,-5,1,4,3,-9
3,-6,-5,1,1,-1,6,1,1,-3,-2,4,-4,-1,2,4,2
4,-9,-6,-2,4,-1,10,3,1,0,-7,2,-4,1,-1,8,-8
2,-10,-4,-2,0,-2,8,2,1,0,0,2,-3,0,2,5,0
4,-9,-11,2,2,-2,7,4,-2,0,-1,2,-6,-2,2,3,1
2,-7,-8,-1,0,-5,8,5,-4,-2,-4,1,-4,-8,3,3,1
6,-2,-5,0,0,-1,8,3,-3,-1,-5,2,-6,-5,3,5,-5
6,-2,-1,2,3,-3,5,5,1,0,-5,3,-2,2,0,6,-6
5,-5,-4,0,0,2,3,0,-1,0,-5,1,-3,3,0,3,-6
4,-7,-6,-1,-4,1,3,0,2,-3,-6,2,-6,2,2,1,-5
6,-1,-4,-3,-2,0,5,-1,-2,-11,-4,3,-5,-3,3,1,-3
4,-1,-8,0,1,1,6,0,-5,-13,-5,7,-11,-3,2,0,-2
1,-3,-6,-2,2,1,6,1,-6,-11,-10,2,-10,2,3,1,-1
0,-3,-12,-5,2,0,0,0,-6,-12,-10,3,-10,4,4,-2,1
-3,-12,-6,-5,1,-3,0,1,-2,-9,-15,2,-16,2,1,-1,-1
-3,-2,-5,3,0,-2,-3,1,-2,-7,-12,3,-18,1,1,5,1
0,-8,0,2,0,-5,-4,4,-1,-11,-7,3,-18,1,3,8,3
-2,-15,-8,-4,-2,-4,1,2,-1,-11,-9,-1,-13,3,1,8,1
-1,-12,-9,1,-4,-7,3,3,-2,-9,-8,-1,-16,5,-1,6,3
0,-19,-13,-12,-3,-8,2,1,-1,-4,-10,0,-17,5,-3,6,3
-7,-15,-8,-6,-1,-5,1,2,-3,-3,-12,-2,-14,4,-5,5,3
-8,-18,-11,1,-5,-6,-5,2,-5,-7,-10,0,-11,5,-7,5,3
-9,-6,-7,3,2,-9,0,-1,0,-4,-9,5,-13,4,-2,2,6
-14,-7,-16,2,0,-10,3,0,2,-6,-10,6,3,3,-3,-3,1
-13,-10,-20,3,-7,-12,-1,-1,-3,-4,-9,2,1,4,-8,-3,-2
-10,-6,-14,1,0,-10,-2,3,0,-7,-11,3,-7,5,-13,-5,1
0,-5,-15,1,1,-4,-1,3,0,-10,-7,4,-5,5,-8,-4,4
-2,-8,-24,-2,2,1,2,5,1,-8,-10,0,2,4,2,-4,5
