2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
-6,-1,-19,-21,-4,0,1,2,0,-5,-14,-9,-2,2,1,3,-11
-7,-2,-17,-19,-6,-1,1,4,-5,-9,-13,-7,-4,2,-2,4,-12
-7,-2,-9,-18,-8,2,0,2,-11,-9,-18,-10,-1,1,-1,1,-10
-1,-2,0,-20,-10,0,0,1,-10,-10,-6,-9,2,1,2,-3,-12
1,0,0,-20,-4,-1,0,4,-12,-12,-7,-6,2,-3,4,-8,-18
0,-1,-5,-20,-6,-4,0,1,-13,-1,-6,-4,2,-3,1,-11,-19
0,0,-12,-18,-8,2,-2,1,-6,-13,-8,-6,-1,-6,3,-9,-20
3,2,-7,-16,-13,3,0,2,-7,-8,-11,-2,-2,-5,5,-8,-18
4,0,-1,-6,-14,1,-5,5,-5,-7,-12,0,-2,-4,4,1,-19
1,0,0,-23,-11,0,-2,7,0,-2,-11,2,-2,-4,2,0,-15
1,-1,0,-21,-6,3,1,2,2,2,-5,1,1,-8,-6,-1,-12
3,-3,1,-9,-8,2,2,-2,3,3,-3,-3,1,-14,-6,-10,-9
2,-6,0,0,-2,4,1,-2,3,2,-5,0,0,-10,-7,2,-9
0,0,2,-13,-2,1,0,1,3,4,-4,-6,0,-4,-9,2,-16
-2,0,1,-9,-1,-2,0,0,3,2,-6,-15,-1,-5,-7,2,-12
0,0,1,2,-4,-1,0,4,2,-3,-6,-12,-2,-6,-8,2,-14
0,0,-1,-2,-5,2,-15,3,2,-6,-6,-8,-1,-12,-11,3,-10
-1,-3,0,2,-4,-1,-24,5,1,-4,-11,-1,-5,-12,-11,2,-13
-8,-1,0,2,-4,-1,-25,0,0,-3,-13,-2,-6,-14,-9,-1,-2
-8,0,1,-6,-7,0,-19,-3,2,-4,-15,1,-5,-9,-13,-5,-6
-14,-5,-2,0,-18,0,-19,-5,2,-3,-15,-1,-6,-5,-7,-9,-9
-9,-7,0,0,-12,0,-20,-4,1,-1,-15,-4,-4,-5,-10,-10,-20
-11,-9,3,1,-9,-1,-15,-8,-1,-1,-19,-14,-11,-6,-17,-4,-14
-14,-9,-5,-2,-8,0,-2,-10,-1,-1,-18,-9,-7,-8,-13,-1,-5
-17,-5,3,1,-12,-4,-3,-8,2,0,-15,-2,-12,-9,-9,-2,-7
-13,-1,-10,2,-6,-8,-2,-5,1,2,-19,-12,-11,-5,-7,-2,-3
-3,0,-9,1,-5,-10,0,-7,-1,2,-19,-13,-11,-8,-12,-2,2
-2,1,-5,-5,-2,-7,-1,-8,-3,1,-18,-1,-12,-9,-11,-1,5
-3,0,-3,-7,-3,-8,0,-9,0,0,-10,0,-11,-3,-14,0,1
1,0,-8,-10,-3,-11,0,-12,2,-6,-6,-3,-9,-2,-15,1,5
-4,-5,-9,-13,-5,-5,-7,-9,0,-13,-3,-6,-16,0,-12,1,2
