2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
18,25,14,17,20,17,19,21,24,21,26,30,19,20,17,20,23
24,23,17,25,23,19,21,22,25,22,21,30,19,22,17,19,27
20,20,18,22,17,21,25,25,18,18,21,27,21,25,18,25,31
19,22,27,23,21,24,24,26,25,13,25,18,23,27,16,23,18
18,27,31,18,13,22,22,20,17,14,28,19,23,26,20,19,14
19,26,20,22,18,26,22,21,15,15,30,24,24,21,24,18,14
18,25,22,20,19,19,28,17,18,18,30,26,27,20,27,14,14
21,25,18,15,20,22,31,22,16,19,30,29,28,24,27,19,15
22,24,22,17,22,27,33,23,19,21,24,28,21,20,25,19,18
22,21,25,19,22,26,33,19,17,22,26,30,25,23,15,14,18
20,25,28,18,23,27,26,19,23,24,28,27,22,19,19,15,21
24,23,28,21,18,26,26,19,24,21,31,22,26,22,24,12,20
17,21,22,23,23,27,28,19,22,25,31,22,17,23,29,14,20
20,22,24,28,18,26,23,19,23,19,32,23,20,25,27,14,22
21,24,23,29,17,20,22,19,19,23,33,18,20,23,27,20,17
18,29,17,25,17,28,20,23,24,26,27,18,16,19,24,21,18
23,30,23,25,19,27,12,23,21,22,23,20,19,20,23,19,23
22,31,25,24,21,23,19,18,21,22,26,25,14,17,26,23,18
18,30,26,25,23,22,19,16,22,25,24,29,17,18,25,19,22
24,24,29,25,23,25,17,18,18,22,25,28,20,14,27,20,17
20,28,22,26,23,22,20,21,22,22,26,30,19,18,25,20,20
22,23,20,24,23,20,19,24,19,19,30,30,19,18,25,18,20
18,26,21,27,23,18,21,22,21,21,27,30,16,24,25,20,23
13,24,21,24,24,23,25,22,23,25,23,24,17,18,27,20,25
14,26,19,26,20,21,24,22,23,21,32,24,21,16,26,21,25
17,25,21,27,23,24,20,21,24,21,33,29,25,20,30,24,25
19,26,21,29,23,22,14,20,18,20,31,31,24,23,31,21,26
19,24,25,30,24,21,18,17,16,21,34,31,27,21,30,21,27
