2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
16,13,20,9,10,11,10,14,16,27,20,28,15,25,16,20,22
18,15,20,9,16,13,11,14,18,19,11,19,11,28,15,17,24
16,18,16,13,14,14,19,21,11,11,16,17,12,28,24,21,24
10,17,16,16,17,18,15,21,17,12,16,19,15,29,29,15,17
13,15,17,19,21,13,15,19,21,9,14,21,17,26,30,16,8
12,20,18,12,19,18,9,23,21,10,15,23,16,23,31,19,12
15,22,18,16,15,15,10,22,11,11,17,25,16,21,21,17,15
14,19,19,16,9,15,11,22,19,12,10,25,17,22,20,15,15
17,21,22,22,12,18,15,23,15,12,18,27,18,23,20,15,10
17,15,23,12,16,17,17,17,13,18,19,27,20,23,14,15,13
24,17,24,15,17,21,16,18,16,19,22,24,21,14,20,15,14
12,11,23,16,19,19,19,18,15,19,18,25,14,17,22,14,9
18,9,21,14,18,19,23,23,15,26,14,14,20,20,19,24,12
16,11,13,15,14,14,27,22,20,19,14,14,22,23,19,22,18
15,16,16,14,14,19,16,14,15,19,16,16,25,19,16,14,24
15,18,20,13,11,17,19,20,18,15,12,16,21,21,16,14,20
8,20,21,11,12,20,22,21,23,10,15,22,17,13,9,14,25
12,20,21,16,14,20,25,17,15,14,19,16,19,19,12,15,20
16,15,27,16,17,17,28,17,19,15,23,15,20,19,17,19,17
22,16,21,21,17,14,29,18,23,13,14,15,16,19,16,24,23
24,18,20,17,14,19,28,17,20,17,26,16,18,25,13,19,17
25,20,18,20,13,21,30,21,18,22,13,22,21,26,17,24,17
29,20,19,16,18,21,23,15,22,22,21,21,22,25,10,21,20
20,23,17,14,21,23,20,14,17,23,19,21,15,27,13,19,22
23,17,15,12,25,21,20,19,13,24,23,18,18,28,13,18,22
27,17,14,13,24,16,21,15,18,26,18,20,19,31,13,19,27
