2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,-2,-2,-4,-4,-11,-4,0,1,-2,1,-9,4,-5,2,3,1
3,-3,-3,-5,0,-8,-8,3,0,-3,2,-3,1,-7,4,3,-3
2,-2,0,-5,-4,-4,-8,3,-3,0,-3,-3,1,-5,4,3,-1
0,-3,-1,-9,-4,-3,-6,2,-3,0,-3,2,-1,-7,2,4,1
-2,1,2,-9,-1,-1,-3,1,-3,3,-6,-1,-4,-4,3,5,2
-3,-2,2,-2,-3,-2,-4,2,1,4,-3,-1,-5,2,2,4,2
1,-2,1,2,-2,-5,-5,3,2,2,-4,-5,-4,-5,4,3,3
-3,-4,-3,3,1,-4,-7,4,1,3,-5,1,-3,-4,4,5,3
-2,0,-2,2,0,-5,-6,4,2,-1,-3,6,0,-6,6,4,1
-1,-2,1,1,2,-5,-7,3,8,1,2,1,-1,-9,8,5,3
-4,3,0,3,2,-8,-8,2,10,1,4,1,1,-6,4,3,4
-3,4,2,3,2,-7,-4,6,3,-2,-3,1,3,-3,6,7,5
0,5,3,1,7,-8,-2,5,3,0,-2,1,1,-4,6,8,3
2,0,-1,3,6,-8,0,2,6,2,-2,5,1,-7,5,9,1
1,3,0,6,2,-5,0,6,2,2,-6,1,-2,-7,1,10,1
3,0,3,1,3,-4,4,5,2,3,-8,1,2,-4,-1,12,3
2,-5,7,0,1,-3,0,4,2,2,-6,4,3,-6,-1,15,4
2,-6,3,1,2,-5,3,2,2,2,-2,6,2,-7,0,12,-1
3,-6,10,1,5,-3,-1,7,0,1,0,5,2,-5,1,12,-2
1,-4,7,-5,3,-3,-6,8,-2,1,3,1,1,-5,1,4,-1
2,-2,4,-1,3,-4,-6,6,-2,3,2,4,3,-8,10,-1,1
0,0,3,3,2,0,-5,13,0,1,1,5,3,-8,7,-2,2
0,-6,-1,6,1,0,0,9,3,0,1,3,1,-3,5,2,3
2,-4,-1,7,4,5,-3,10,-1,1,1,-1,0,1,8,4,4
3,-3,2,1,1,6,-1,9,-1,-1,3,-4,1,0,8,1,5
5,-3,1,9,1,4,-1,9,0,-2,7,-5,2,0,7,4,8
8,-1,7,6,0,0,0,11,-1,-1,6,-1,2,0,5,6,9
