2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,12,19,10,14,4,16,4,22,12,10,5,11,10,7,14,15
8,7,19,3,16,7,17,3,23,15,13,4,11,15,5,11,17
6,14,21,11,20,12,19,5,21,17,10,5,7,11,8,9,18
11,21,21,3,22,7,19,7,22,20,7,4,13,18,8,11,19
8,24,21,9,24,10,21,8,10,12,6,7,12,10,7,15,20
10,13,13,18,25,9,20,9,7,13,11,8,13,11,7,21,21
9,14,15,13,26,11,18,17,10,18,7,15,8,20,10,19,19
9,16,19,12,25,11,16,13,13,15,21,16,13,17,6,12,20
13,18,16,16,22,9,18,7,14,21,18,17,17,20,15,13,20
19,12,13,17,15,8,14,11,18,15,8,18,21,17,19,16,21
6,9,14,15,3,6,15,14,23,15,13,19,15,13,9,10,12
4,9,19,18,5,14,17,13,10,14,17,15,12,14,14,18,15
6,9,23,20,7,8,21,14,10,14,27,13,9,22,21,12,18
10,9,23,24,10,7,13,20,7,7,27,15,15,16,8,12,20
13,14,19,10,7,15,10,17,6,5,24,18,18,16,13,12,21
9,17,14,21,9,18,6,16,10,12,24,16,21,22,16,13,13
14,19,9,12,10,14,10,15,13,13,22,13,28,18,20,10,18
16,16,4,10,14,10,14,19,11,16,21,10,14,23,26,8,17
19,13,4,11,10,8,9,24,11,15,24,17,17,26,31,9,14
21,7,7,19,9,13,11,22,14,15,25,16,22,18,32,17,17
15,8,14,19,10,18,15,19,14,15,26,18,25,21,28,17,14
22,3,15,18,11,21,13,13,15,19,19,18,20,21,20,14,15
17,10,13,17,9,23,19,14,11,14,18,24,14,12,27,18,22
18,10,10,17,11,26,10,17,12,16,15,18,15,16,29,15,23
18,5,11,17,12,17,15,16,14,16,15,11,18,13,22,21,22
12,5,17,26,17,17,11,27,16,19,11,13,15,18,22,23,21
17,10,15,16,11,20,13,24,12,26,10,17,19,23,7,16,16
15,10,14,15,15,15,11,29,18,18,12,18,20,24,10,17,14
28,9,17,14,15,11,15,29,18,20,14,17,15,23,13,20,21
15,10,21,14,10,14,12,21,19,20,14,14,8,23,16,19,25
13,11,22,14,10,16,18,19,16,24,18,22,13,23,19,12,24
