2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
18,10,7,12,13,18,9,18,8,6,12,12,13,5,9,12,14
17,13,9,12,9,18,14,15,12,7,10,12,16,7,12,15,13
15,13,5,12,8,15,13,14,13,5,11,10,15,11,13,12,13
12,13,5,11,8,13,13,16,12,11,12,13,12,12,10,16,10
12,10,6,13,11,14,14,14,14,10,13,12,15,13,7,8,9
10,11,4,11,13,13,14,12,11,7,13,13,11,10,7,5,9
14,7,6,11,13,13,13,12,12,9,13,13,13,12,10,5,9
14,7,3,10,11,15,12,12,10,10,11,12,8,12,11,4,6
14,13,0,9,6,14,13,10,10,8,11,10,9,12,11,5,8
10,13,2,6,4,15,11,8,10,8,8,7,8,13,13,5,7
12,12,2,8,5,18,12,7,11,9,8,9,9,12,12,8,6
9,8,3,9,8,15,12,4,11,1,4,9,8,11,12,9,6
9,7,2,8,9,14,7,5,11,3,5,7,7,11,10,9,2
12,10,0,8,9,14,8,6,12,4,4,6,5,7,6,9,6
9,7,1,4,9,6,8,5,11,5,2,6,8,8,8,10,8
10,9,1,5,8,6,8,8,9,6,3,10,12,7,4,10,8
8,10,0,7,8,5,8,12,9,4,4,10,11,6,2,8,7
8,7,3,5,8,9,8,10,8,4,6,10,11,9,4,9,5
9,8,0,5,5,6,4,7,8,4,7,4,15,3,1,8,6
9,4,-1,3,4,7,3,6,9,6,6,9,11,5,3,6,4
9,5,0,1,5,5,1,7,13,9,6,8,7,5,0,5,2
8,4,-1,0,5,8,9,4,11,5,3,7,6,4,-3,5,3
8,2,0,1,8,9,13,6,10,5,4,7,4,5,0,4,6
9,3,0,0,7,3,14,6,9,4,8,10,7,11,2,8,7
10,4,4,-1,10,3,14,6,8,3,8,5,4,8,2,8,2
9,6,1,-1,11,-1,7,7,7,7,3,8,1,8,2,7,2
4,8,7,0,8,1,11,5,7,9,2,6,1,10,7,6,4
3,7,3,3,7,1,3,6,9,8,4,6,1,12,11,4,6
2,7,2,8,6,5,0,8,9,2,7,10,-1,10,14,4,6
0,5,2,3,3,2,1,11,9,1,7,8,1,9,9,4,2
