2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
15,14,19,10,25,16,16,13,13,18,16,14,14,21,13,20,18
17,13,19,10,21,17,20,13,13,22,10,17,15,17,14,18,18
21,16,21,12,21,18,22,14,18,23,12,15,16,17,18,14,19
17,19,21,14,15,18,20,14,15,21,9,16,17,19,16,18,16
13,15,21,16,18,16,17,17,18,15,13,18,18,18,19,18,18
12,17,24,17,17,17,16,16,17,16,15,21,14,18,19,19,17
14,20,21,17,16,22,18,13,15,15,17,15,10,19,19,16,17
14,17,22,18,9,20,17,15,15,19,17,17,13,18,22,14,16
17,15,22,15,11,19,13,13,14,22,19,16,15,17,22,14,16
14,17,17,15,14,14,16,13,13,18,19,16,15,18,21,17,17
13,18,13,15,16,16,17,12,10,17,17,15,20,12,24,20,18
10,15,18,16,15,17,15,14,11,17,16,15,25,19,18,20,17
10,14,19,16,16,14,17,11,12,17,16,16,15,19,16,15,18
10,17,13,16,19,16,19,11,10,17,19,16,14,18,15,18,14
10,18,10,15,15,13,11,13,9,20,19,15,14,18,18,18,16
10,16,9,15,15,11,13,12,7,17,16,14,16,15,17,16,14
13,23,13,14,13,10,14,11,7,14,15,15,16,15,19,19,11
14,22,8,13,13,13,15,18,9,13,14,15,18,18,19,22,11
14,22,6,16,15,13,18,13,10,13,14,15,20,17,18,17,15
13,20,7,12,17,15,16,13,11,18,14,15,15,15,19,19,16
11,19,7,13,16,16,16,14,14,16,16,15,13,16,19,13,10
11,18,6,16,13,15,15,17,18,16,15,15,15,15,16,16,13
14,17,7,18,12,16,16,14,16,15,15,9,11,11,8,17,9
15,7,9,12,12,15,20,15,16,14,17,13,12,7,8,22,11
12,9,10,13,10,18,12,20,13,12,20,12,10,5,12,18,13
12,9,12,14,14,16,12,18,12,15,10,11,12,7,15,15,13
10,12,9,15,14,19,16,15,12,15,11,14,15,7,13,14,14
12,11,6,12,13,16,20,16,13,12,9,14,16,12,14,12,11
16,6,13,12,12,12,12,22,11,7,10,13,12,5,15,9,14
15,8,11,14,11,15,11,22,11,6,12,15,11,6,11,13,14
